iter,alpha,mu,phi,merit,eq_norm,ineq_norm,comp_inf,dual_inf,accept_code,linsys
0,1.0,3.831186848571286e-06,0.0035018315256906264,0.004074965154164305,9.765776740004145e-05,0.0034041737582905848,0.00035707727780614546,0.02467923426293495,1,3.4042594047560856e-16
1,1.0,2.6281351228989453e-07,0.0001146917664239184,0.0002634113353117188,2.973477823262538e-05,8.495698819129303e-05,2.6271865935740795e-07,0.0029592643693575962,1,7.211738391291188e-18
2,0.8139215358995926,1e-08,4.0100105613516954e-05,0.00016481318517052318,1.114674647296591e-05,2.8953359140551044e-05,5.1600405398602805e-08,0.000550655336594947,1,9.64454753332907e-19
3,0.99999999,1e-08,2.8805697748973013e-05,0.013650245581348346,2.0494732499529683e-06,2.6756224499020044e-05,4.565852596124314e-09,5.966644392859998e-07,1,3.973179426411484e-19
4,1.0,1e-08,2.572629871420163e-05,0.00015210170333083858,2.935499567171692e-07,2.543274875748446e-05,2.26720980087819e-09,1.9531180373098117e-08,1,6.304243791782968e-20
5,1.0,1e-08,2.4955056115553252e-05,0.00015094801286562732,6.11445148730808e-08,2.489391160068017e-05,4.6328265397836604e-10,4.785875465528511e-09,1,1.9957305848827574e-20
6,1.0,1e-08,2.4222148166815568e-05,0.00015016971208039486,3.239760659301815e-08,2.418975056022255e-05,3.2338297750099195e-10,4.349899539974147e-09,1,1.4685047202467518e-20
7,1.0,1e-08,2.371159477027489e-05,0.00014965914128457026,2.873230056296433e-08,2.368286246971193e-05,1.3381538815157835e-10,4.1753748850466505e-09,1,1.626814360458382e-20
8,1.0,1e-08,2.328253830877325e-05,0.0001492381297194013,2.791194065731885e-08,2.3254626368115932e-05,1.863830945127037e-10,4.027234177988504e-09,1,1.0007639861598413e-20
9,1.0,1e-08,2.289514110015393e-05,0.0001488598089927114,2.7446701359220212e-08,2.286769439879471e-05,2.473905006937013e-10,3.895119717652745e-09,1,1.6186501394776367e-20
10,1.0,1e-08,2.2530187732169463e-05,0.00014850440427556207,2.702724072722604e-08,2.2503160491442237e-05,2.9466566169204057e-10,3.772682248784245e-09,1,2.4443375290802005e-20
11,1.0,1e-08,2.2181420443901798e-05,0.00014816556169302072,2.6618608117774865e-08,2.2154801835784024e-05,3.3467660391072866e-10,3.657509595875381e-09,1,8.795200243526622e-21
12,1.0,1e-08,2.1845613484874976e-05,0.0001478400528547945,2.6219381552463043e-08,2.1819394103322512e-05,3.6883256784322336e-10,3.548293431727403e-09,1,1.265926000404634e-20
13,1.0,1e-08,2.1520727762526458e-05,0.00014752583185768882,2.5830478638027545e-08,2.149489728388843e-05,3.983971033100406e-10,3.4441759867693362e-09,1,1.3090735081683163e-20
14,1.0,1e-08,2.120530465936366e-05,0.0001472214311908921,2.545199404756798e-08,2.117985266531609e-05,4.242081557943925e-10,3.3445594900907184e-09,1,8.727824116673065e-21
15,1.0,1e-08,2.0898244410898223e-05,0.00014692574034469783,2.508344730863728e-08,2.0873160963589586e-05,4.46869313888538e-10,3.2489395235425897e-09,1,2.249635425860771e-20
16,1.0,1e-08,2.0598692465116045e-05,0.00014663789288725662,2.4724147573113455e-08,2.057396831754293e-05,4.66828017449925e-10,3.15697997850192e-09,1,1.4298988783702715e-20
17,1.0,1e-08,2.0305970560224704e-05,0.00014635719796831346,2.4373384666196756e-08,2.0281597175558506e-05,4.844269675845375e-10,3.068364666974953e-09,1,9.361510382303668e-21
18,1.0,1e-08,2.0019530844924797e-05,0.00014608309472570856,2.403050592090981e-08,1.9995500339003885e-05,4.999363540793629e-10,2.9828408261309497e-09,1,8.766449976398856e-21
19,1.0,1e-08,1.9738923905701764e-05,0.000145815120510875,2.3694938501938035e-08,1.9715228967199825e-05,5.135748130524036e-10,2.900214488582727e-09,1,1.7780124112724098e-20
20,1.0,1e-08,1.9463775864444824e-05,0.00014555288812896004,2.3366188687029022e-08,1.9440409675757795e-05,5.255233887401314e-10,2.82030368523934e-09,1,9.105055290713238e-21
21,1.0,1e-08,1.919377164312961e-05,0.00014529606920820663,2.304383309581183e-08,1.9170727810033796e-05,5.359350554035563e-10,2.74295342017096e-09,1,8.200023280387324e-21
22,1.0,1e-08,1.8928642531538547e-05,0.00014504438184571853,2.2727507750167605e-08,1.890591502378838e-05,5.44941352754748e-10,2.668034119196884e-09,1,5.5211078854697676e-21
23,1.0,1e-08,1.8668156817757447e-05,0.0001447975812964579,2.2416898294891502e-08,1.8645739919462555e-05,5.526571034741209e-10,2.5954198212537003e-09,1,9.940040339340478e-21
24,1.0,1e-08,1.8412112633545878e-05,0.00014455545286273436,2.211173129254359e-08,1.8390000902253334e-05,5.591838306128425e-10,2.52501028663284e-09,1,9.169778233894834e-21
25,1.0,1e-08,1.8160332425735338e-05,0.0001443178063987112,2.181176701199078e-08,1.8138520658723348e-05,5.646122772659569e-10,2.4566992080915636e-09,1,5.9873755287759395e-21
26,1.0,1e-08,1.791265863731631e-05,0.00014408447201610098,2.151679376953767e-08,1.7891141843546774e-05,5.690242957328865e-10,2.3904182132658937e-09,1,1.1086864889187861e-20
27,1.0,1e-08,1.766895029904485e-05,0.00014385529669383584,2.122662322911233e-08,1.7647723675815737e-05,5.72494286769689e-10,2.326053835695753e-09,1,5.9426615212513265e-21
28,1.0,1e-08,1.742908031429235e-05,0.0001436301415759194,2.0941086406254157e-08,1.7408139227886093e-05,5.750903130381877e-10,2.2635637074571932e-09,1,8.331574107057116e-21
29,1.0,1e-08,1.7192933278073645e-05,0.0001434088797992136,2.0660031081500853e-08,1.7172273246992145e-05,5.768749733157195e-10,2.2028645346912085e-09,1,6.445168232968455e-21
