iter,alpha,mu,phi,merit,eq_norm,ineq_norm,accept_code,linsys
0,1.0,0.0001958789876129705,0.004643227866824097,0.02553562022006219,0.0001805103620390351,0.0044627175047850616,1,4.6949751383592404e-17
1,1.0,3.908585365013309e-05,0.0005057097511006076,0.005121023865502252,7.894082316545323e-05,0.0004267689279351544,1,1.5595147103940432e-18
2,0.04000000000000001,2.9190455657684344e-05,0.000517245787049414,0.0037378986176929306,7.582173060374611e-05,0.0004414240564456679,1,1.1120854873630862e-18
3,1.0,2.895852986107026e-05,1.256307043199525e-05,0.0036046137446432217,1.2135346031204778e-05,4.2772440079047147e-07,2,7.392141280212602e-20
4,6.400000000000002e-05,2.868677476740065e-05,1.2548105425004878e-05,0.004533795145532326,1.2134500530557285e-05,4.1360489444759324e-07,1,1.2588301291333356e-17
5,1.2800000000000006e-05,2.86864075842185e-05,1.2547024325479341e-05,0.004534029907052936,1.2134331444585185e-05,4.12692880894156e-07,1,8.565624617411508e-18
6,1.2800000000000006e-05,2.868633414731631e-05,1.25465968121247e-05,0.004533902870009845,1.2134162361503381e-05,4.1243445062131893e-07,1,7.892743064376722e-18
7,2.5600000000000013e-06,2.8686260710602083e-05,1.2546589890628868e-05,0.004533767787183737,1.213412854545387e-05,4.1246134517499996e-07,1,1.2168530945210641e-17
8,1.0,2.8686246023248638e-05,2.497846470045408e-07,0.0035829064401304953,2.489707649816645e-07,8.138820228763328e-10,2,1.835400031212383e-21
9,1.0,2.8686005031621342e-05,2.752759814313188e-08,0.003670866061716777,2.752645352393807e-08,1.1446191938094584e-12,2,1.8429155870192208e-22
10,1.0,2.8686001130797773e-05,3.997017739962821e-09,0.0037049456877734114,3.997013206513655e-09,4.53344916657074e-15,2,3.3259171706592576e-23
11,1.0,2.8686001035088718e-05,5.828921457672162e-10,0.0037055604977041245,5.82889614794828e-10,2.5309723882292957e-15,2,3.634731422982778e-24
12,1.0,2.8686001027712535e-05,8.502038050891246e-11,0.0037055875379393643,8.501775031420754e-11,2.630194704925506e-15,2,2.635176868933166e-25
13,1.0,2.868600102674335e-05,1.2404515963867815e-11,0.0037056274205750127,1.2401435076045137e-11,3.0808878226779345e-15,2,7.425572268708414e-26
14,1.0,2.868600102660411e-05,1.812273598610916e-12,0.003705819630342689,1.8091414975677965e-12,3.132101043119392e-15,2,1.1466767038719201e-26
15,1.0,2.868600102658387e-05,2.6753800746098085e-13,0.003707307266926951,2.639505337168071e-13,3.587473744173755e-15,2,3.974910956582841e-27
16,1.0,2.868600102658092e-05,4.125071971559606e-14,0.0036037238732015368,3.8503708897890944e-14,2.7470108177051167e-15,2,3.422342075817289e-28
17,1.0,2.868600102658049e-05,8.751390091874593e-15,0.0035720773949971638,5.618734606046521e-15,3.1326554858280735e-15,2,2.751841377443386e-29
18,1.0,2.8686001026580425e-05,4.325964007237586e-15,0.0035677681014901555,8.404825101994229e-16,3.4854814970381627e-15,2,3.2352653825402784e-30
19,0.2,2.8686001026580408e-05,2.2366729572552204e-15,0.0035657336378738156,1.0516841605550052e-16,2.1315045411997198e-15,2,7.992992589473792e-32
