feas,eq_inf,ineq_vio,orig_max_abs,orig_rmse,converged,finite,iterations,tau_min,mu_min,min_delta,gamma_y,gamma_z,line_search_factor,line_search_min_step_size,s0_cap,z0_init
0.0004112380652627756,0.0004112380652627756,0.0,0.004110371221915432,0.0007391772866815954,True,True,2,0.99,1e-08,0.0001,0.0001,0.01,0.2,1e-10,0.5,0.001
0.0004112380652627756,0.0004112380652627756,0.0,0.004110371221915432,0.0007391772866815954,True,True,2,0.99,1e-08,0.0001,0.0001,0.01,0.2,1e-12,0.5,0.001
0.0004112380652627756,0.0004112380652627756,0.0,0.004110371221915432,0.0007391772866815954,True,True,2,0.99,1e-08,0.0001,0.0001,0.01,0.1,1e-10,0.5,0.001
0.0004112380652627756,0.0004112380652627756,0.0,0.004110371221915432,0.0007391772866815954,True,True,2,0.99,1e-08,0.0001,0.0001,0.01,0.1,1e-12,0.5,0.001
0.001092330402810191,0.001092330402810191,0.0,0.003886779421714892,0.0008356890940787416,True,True,2,0.99,1e-08,0.0001,0.01,0.01,0.2,1e-10,0.5,0.001
0.001092330402810191,0.001092330402810191,0.0,0.003886779421714892,0.0008356890940787416,True,True,2,0.99,1e-08,0.0001,0.01,0.01,0.2,1e-12,0.5,0.001
0.001092330402810191,0.001092330402810191,0.0,0.003886779421714892,0.0008356890940787416,True,True,2,0.99,1e-08,0.0001,0.01,0.01,0.1,1e-10,0.5,0.001
0.001092330402810191,0.001092330402810191,0.0,0.003886779421714892,0.0008356890940787416,True,True,2,0.99,1e-08,0.0001,0.01,0.01,0.1,1e-12,0.5,0.001
0.0014102169885323868,0.0014102169885323868,0.0,0.00722567270741567,0.0013407424551175942,True,True,2,0.99,1e-08,0.0001,0.0001,0.01,0.2,1e-10,1.0,0.001
0.0014102169885323868,0.0014102169885323868,0.0,0.00722567270741567,0.0013407424551175942,True,True,2,0.99,1e-08,0.0001,0.0001,0.01,0.2,1e-12,1.0,0.001
0.0014102169885323868,0.0014102169885323868,0.0,0.00722567270741567,0.0013407424551175942,True,True,2,0.99,1e-08,0.0001,0.0001,0.01,0.1,1e-10,1.0,0.001
0.0014102169885323868,0.0014102169885323868,0.0,0.00722567270741567,0.0013407424551175942,True,True,2,0.99,1e-08,0.0001,0.0001,0.01,0.1,1e-12,1.0,0.001
0.0017799223023367006,0.0017799223023367006,0.0,0.006917763346623085,0.0013988280167092299,True,True,2,0.99,1e-08,0.0001,0.01,0.01,0.2,1e-10,1.0,0.001
0.0017799223023367006,0.0017799223023367006,0.0,0.006917763346623085,0.0013988280167092299,True,True,2,0.99,1e-08,0.0001,0.01,0.01,0.2,1e-12,1.0,0.001
0.0017799223023367006,0.0017799223023367006,0.0,0.006917763346623085,0.0013988280167092299,True,True,2,0.99,1e-08,0.0001,0.01,0.01,0.1,1e-10,1.0,0.001
0.0017799223023367006,0.0017799223023367006,0.0,0.006917763346623085,0.0013988280167092299,True,True,2,0.99,1e-08,0.0001,0.01,0.01,0.1,1e-12,1.0,0.001
0.001529067062010614,0.001529067062010614,0.0,0.008233978033815204,0.0018615702519734058,True,True,6,0.99,1e-08,0.0001,0.01,0.0001,0.2,1e-10,0.5,0.01
